,image_name,text,label
0,003a75cf599e9b24b6951f731eaee7d2.jpeg,DEPORT THE THIS BUTTON ALSO DEPORTS MEXICANS MEXICANS STARCAT CO DEPORT THE THIS BUTTON ALSO DEPORTS MEXICANS MEXICANS STARCAT CO,0
1,027-funny-animal-pictures-with-captions-013-pandamonium.jpg,DUDE LAST NIGHT WAS PANDAMONIUM DUDE LAST NIGHT WAS PANDAMONIUM,0
2,098f8e5f97e5668547e70ad803e27923--macros-shake.jpg,I WANT TO SEE USA BURN CALORIES AND FIGHT OBESITY I WANT TO SEE USA BURN CALORIES AND FIGHT OBESITY,1
3,0caa2605cd53a61310a948e08a9aedbc.png,WHATS THAT BURNING OH IT S MY FAMILY WHATS THAT BURNING OH IT S MY FAMILY,1
4,0rockysuperman.jpg,,0
5,1001943_647932145239692_1005952937_n.jpg,IF IT DOESN T HAVE TO DO WITH SHERLOCK DOCTOR WHO OR FOOD THEN I DON T CARE YOURCE CARDS SOMEECARDS COM IF IT DOESN T HAVE TO DO WITH SHERLOCK DOCTOR WHO OR FOOD THEN I DON T CARE YOURCE CARDS SOMEECARDS COM,0
6,1002495_506684982740415_82709502_n.jpg,,0
7,1002511_821727181991_1830492083_n.jpg,TREK YOURSELF BEFORE YOU WRECK YOURSELF TREK YOURSELF BEFORE YOU WRECK YOURSELF,0
8,1002911_387869458012456_442221612_n.jpg,BEMARTE WE HOPE TO SEE YOU AGAIN WHAT A TERRIBLE THING TO SAY IN A HOSPITAL BEMARTE WE HOPE TO SEE YOU AGAIN WHAT A TERRIBLE THING TO SAY IN A HOSPITAL,0
9,1005475_287248014746367_1904938948_n.jpg,,0
10,101347944_large_066726__Dog_leto_simpotichnaya_shlyapka_sobaka_.jpg,HTTP KARAT HTTP KARAT,0
11,1017014_569059299822565_1182262010_n.jpg,YOU HEAR THAT SHE SAID BATHTIME YOU HEAR THAT SHE SAID BATHTIME,0
12,10246724_747008182064474_2873398654888745189_n.png,DONALD DUCK FB COM ILLUMINATITV TEACHING SUBLIMINAL MESSAGES TO YOUR CHILDREN SINCE DONALD DUCK FB COM ILLUMINATITV TEACHING SUBLIMINAL MESSAGES TO YOUR CHILDREN SINCE,1
13,1157640_560830327322724_1236679818_n.jpg,THE EVOLUTION OF MICROSOFT WINDOWS VISTA WINDOWS WINDOWS,0
14,1173896_621220427899701_2064484931_n.jpg,,0
15,1175473_10153167111135433_1553345586_n.jpg,FUCK THIS SHIT JUST KIDDING IT S STILL THURSDAY AND I NEED THESE FACEBOOK COM TBSUPAGE FUCK THIS SHIT JUST KIDDING IT S STILL THURSDAY AND I NEED THESE FACEBOOK COM TBSUPAGE,0
16,1184883_631024373630305_1288321586_n.jpg,MY TASTE IN MUSIC RANGES FROM YOU NEED TO LISTEN TO THIS TO I KNOW PLEASE DON T JUDGE ME MY TASTE IN MUSIC RANGES FROM YOU NEED TO LISTEN TO THIS TO I KNOW PLEASE DON T JUDGE ME,0
17,1185213_580544445322173_1202864084_n.jpg,WHY CAN T YOU HEAR A PTERODACTYL GOING TO THE BATHROOM BECAUSE THE P IS SILENT TOONSEUM ORG WHY CAN T YOU HEAR A PTERODACTYL GOING TO THE BATHROOM BECAUSE THE P IS SILENT TOONSEUM ORG,0
18,1186075_738359006193555_1935554128_n.jpg,MONDAY PUNDAY BY GEMMA CORRELL WWW GEMMACORRELL COM HOW DO I KNOW THAT MY EXPERIENCE OF CONSCIOUSNESS IS THE SAME AS OTHER S EXPERIENCES OF CONSCIOUSNESS WHY ARE WE HERE WHAT IS MY PURPOSE WHAT IS THE MEANING OF LIFE COMPLEX CARBOHYDRATES O GEMMA CORRELL WWW GEMMOCORRELL COM MONDAY PUNDAY BY GEMMA CORRELL WWW GEMMACORRELL COM HOW DO I KNOW THAT MY EXPERIENCE OF CONSCIOUSNESS IS THE SAME AS OTHER S EXPERIENCES OF CONSCIOUSNESS WHY ARE WE HERE WHAT IS MY PURPOSE WHAT IS THE MEANING OF LIFE COMPLEX CARBOHYDRATES O GEMMA CORRELL WWW GEMMOCORRELL COM,0
19,1186104_576589339053562_1633370143_n.jpg,SORRY YOU CANT SLEEP SAD OWL IS SAD FOR YOU SORRY YOU CANT SLEEP SAD OWL IS SAD FOR YOU,0
20,1197958073_1194412128_0101.jpg,,0
21,1209146_10151910358322840_1882518166_n.jpg,IWENTAS THE AVENGERS FOR HALLOWEEN ALL OF THEM IWENTAS THE AVENGERS FOR HALLOWEEN ALL OF THEM,0
22,1234423_592688857453036_1481668709_n.jpg,YOU RE LIKE REALLY HOT HOW ARE YOU SINGLE I HURT ANYONE WHO GETS TOO CLOSE YOU RE LIKE REALLY HOT HOW ARE YOU SINGLE I HURT ANYONE WHO GETS TOO CLOSE,0
23,1235338_523406051073748_1747146301_n.jpg,,0
24,1239452_418348051618510_1968512327_n.jpg,,0
25,12js34.jpg,,0
26,13 - 1 (1)(1).jpg,,0
27,13 - 1 (1)(2).jpg,I DON T EXERCISE TO BE HEALTHY I EXERCISE TO LOOK SEXY AS FUCK NAKED YOURCECARDS SOMEECAN COM I DON T EXERCISE TO BE HEALTHY I EXERCISE TO LOOK SEXY AS FUCK NAKED YOURCECARDS SOMEECAN COM,0
28,13 - 1 (1)(3).jpg,THE TIME IS NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW THE TIME IS NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW NOW,0
29,13 - 1 (1)(4).jpg,,0
30,13 - 1 (1)(5).jpg,,0
31,13 - 1 (1)(6).jpg,OH YOU RAN A MARATHON HOW HEAVY WAS THE SLED OH YOU RAN A MARATHON HOW HEAVY WAS THE SLED,0
32,13 - 1 (1)(7).jpg,WHAT IF ALIENS ARE PEOPLE FROM THE FUTURE MAYBE IN A BILLI WHAT IF ALIENS ARE PEOPLE FROM THE FUTURE MAYBE IN A BILLI YEARS PEOPLE EVOLVE INTO BIG EYED GRAY ALI ENS THEN THE Y INVENT TIME TRAVEL AND DISSECT CURRENT HOMANS THE SAME WAY CURRENT HUMANS WOULD DISSECT A CA VEMAN WHOA I JUST HAD AN IDEA YES NO MORE DOCTOR WHO CATSTHATTALK TUM BLR COM SHARED WITH MEMEDROID,0
33,13 - 1 (1)(8).jpg,DOGS ARE AWESOME THAT IS ALL DOGS ARE AWESOME THAT IS ALL,0
34,13 - 1 (1).jpg,THAT MOMENT WHEN YOU WAKE UP AND REALIZE IT S FRIDAY THAT MOMENT WHEN YOU WAKE UP AND REALIZE IT S FRIDAY,0
35,13 - 1 (2)(1).jpg,HEY WAKE UP I GOTTA GO STAND IN THE YORD AND SNIFF THINGS INSTEAD OF PEEING C HEY WAKE UP I GOTTA GO STAND IN THE YORD AND SNIFF THINGS INSTEAD OF PEEING C,0
36,13 - 1 (2)(2).jpg,,0
37,13 - 1 (2)(3).jpg,WHERE DO YOU WANT TO GO FOR DINNER TONIGHT HONEY LET ME CHECK PULLS UP INTEL MAP WHERE DO YOU WANT TO GO FOR DINNER TONIGHT HONEY LET ME CHECK PULLS UP INTEL MAP,0
38,13 - 1 (2)(4).jpg,HAP HAP,0
39,13 - 1 (2).jpg,THERE ARE SO MANY MISTERIOUS THINGS OUT THERE I INTEND TO SMELL EVERY SINGLE ONE OF THEM THERE ARE SO MANY MISTERIOUS THINGS OUT THERE I INTEND TO SMELL EVERY SINGLE ONE OF THEM,0
40,13 - 1 (3)(1).jpg,CODING WHILE LEARNING IT AT COLLEGE CODING FOR A PROJECT IN A REAL JOB MAMECNLERA MEMECENTER COM CODING WHILE LEARNING IT AT COLLEGE CODING FOR A PROJECT IN A REAL JOB MAMECNLERA MEMECENTER COM,0
41,13 - 1 (3)(2).jpg,THEY SAY MONEY CAN T BUY HAPPINESS BUT IT CAN BUY RUNNING SHOES AND THAT S KIND OF THE SAME THING THEY SAY MONEY CAN T BUY HAPPINESS BUT IT CAN BUY RUNNING SHOES AND THAT S KIND OF THE SAME THING YOURECARDS SOMEECARDS COM,0
42,13 - 1 (3).jpg,THEY SAY MONEY CAN T BUY HAPPINESS BUT IT CAN BUY RUNNING SHOES AND THAT S KIND OF THE SAME THING THEY SAY MONEY CAN T BUY HAPPINESS BUT IT CAN BUY RUNNING SHOES AND THAT S KIND OF THE SAME THING YOURECARDS SOMEECARDS COM,0
43,13 - 1 (4)(1).jpg,A POMPREECE A POMPREECE,0
44,13 - 1 (4).jpg,A POMPREECE A POMPREECE,0
45,13 - 1 (5)(1).jpg,GYM MEMES SPOT ME BRO GYM MEMES SPOT ME BRO,0
46,13 - 1 (5).jpg,GYM MEMES SPOT ME BRO GYM MEMES SPOT ME BRO,0
47,13 - 1 (6)(1).jpg,OH GREAT I LEET IT AT HOME OH GREAT I LEET IT AT HOME,0
48,13 - 1 (6).jpg,OH GREAT I LEET IT AT HOME OH GREAT I LEET IT AT HOME,0
49,13 - 1 (7).jpg,ACT NATURAL ACT NATURAL ACT NATURAL SANTY ACT NATURAL ACT NATURAL ACT NATURAL SANTY,0
50,13 - 1 (8).jpg,FALLS TO THE FLOOR FALLS TO THE FLOOR NOMIA PRO NOKA BREAK THE SCREEN BREAK THE FLOOR FALLS TO THE FLOOR FALLS TO THE FLOOR NOMIA PRO NOKA BREAK THE SCREEN BREAK THE FLOOR,0
51,13 - 1(1).jpg,DON T ASK BUTYES ICOULD USE SOME HELP MORE AWESOME PICTURES AT THEMETAPICTURE COM DON T ASK BUTYES ICOULD USE SOME HELP MORE AWESOME PICTURES AT THEMETAPICTURE COM,0
52,13 - 1(1).png,MAKE ME A SANDWICH WHAT MAKE IT YOURSELF SUDO MAKE ME A SANDWICH OKAY MAKE ME A SANDWICH WHAT MAKE IT YOURSELF SUDO MAKE ME A SANDWICH OKAY,0
53,13 - 1(10).jpg,,0
54,13 - 1(11).jpg,,0
55,13 - 1(12).jpg,,0
56,13 - 1(13).jpg,IDON T ALWAYS DRINK MILK BUT WHEN I DO IPREFER DOS TETAS IDON T ALWAYS DRINK MILK BUT WHEN I DO IPREFER DOS TETAS,0
57,13 - 1(14).jpg,WEKNOWMEMES MING SONE P WEKNOWMEMES MING SONE P NICTORES DON T EVEN THINK ABOUT IT,0
58,13 - 1(2).jpg,LIFE IS SHORT UR ENJOY OFFEE REDITED ATA YONN SUHON CHEAP W COST ON OPE US EA CHI LIFE IS SHORT UR ENJOY OFFEE REDITED ATA YONN SUHON CHEAP W COST ON OPE US EA CHI,0
59,13 - 1(3).jpg,I SAW A FAT GIRL WITH A GUESS SHIRT ON SO I APPROACHED HER COM AND SAID I SAW A FAT GIRL WITH A GUESS SHIRT ON SO I APPROACHED HER COM AND SAID LBS COMEDY,0
